ID,name,gender,race,age,city,state,zip_code,hh_income,children,brand_run,last_purchase,frequency,own_home,preferred_channel,preferred_device,purchase_amount,coupon_shopper,discount_shopper,returns,health_code,preferred_brand
8262550b117c478a88540350bef845d0,Carol Garon  ,F,0,60,Bristol, CT,06010,49316,1,2,64,7,1,0,0,4947,1,1,1,4,2
ae9dc2feb8b94674b396979867c7d88e,Jaylen Bryan,F,0,24,Baldwin, NY,11510,62192,0,3,3,8,0,1,3,8787,0,1,0,0,2
1da925b88e914bf1b965f63315c0661c,Macy Dougherty,F,0,25,Akron, OH,44312,48573,0,1,19,8,0,1,3,5610,0,1,0,0,2
6f7fd367775048cf96d05a3ce5fee158,Hannah Palmer,F,0,41,Egg Harbor Township, NJ,08234,54965,1,3,20,5,1,0,1,1441,0,1,0,0,2
3eceac0c37c54705919fd662e4cd807f,Eden Gilbert,F,0,41,Yuma, AZ,85365,44629,1,1,17,0,0,0,3,5734,0,1,0,0,2
f42f79e64a0546e4bde000b2989f1c8e,Skyler Pittman,F,0,60,Clinton, MD,20735,42855,1,4,28,4,1,0,0,5109,1,1,1,4,2
a0e2ef4058054faaac824229f1b28be4,Viviana Dudley,F,0,36,West Fargo, ND,58078,32626,0,0,1,7,0,0,2,12297,0,1,0,0,2
fac33d1a25fa4678b79b4d693aaaecea,Mina Mahoney,F,0,31,Newnan, GA,30263,32626,1,0,6,4,0,0,3,7088,0,1,0,0,2
36c9768bd83b4d628bd39ebb72fbfa75,Violet Jefferson,F,0,25,Tampa, FL,33604,55895,0,0,18,5,1,1,3,3552,0,1,0,0,2
2fa4e942052b4f679b3c8768b4b728c5,Aubrey Rose,F,0,22,Cuyahoga Falls, OH,44221,50476,0,0,6,3,0,1,3,7807,0,1,0,0,2
dc258b23c38c469599c9239df4953ea1,Sylvia Flowers,F,0,29,North Andover, MA,01845,69048,0,2,18,8,0,1,1,7005,0,1,0,0,2
3c56ef859459433c9feb0a90b647b362,Sidney Levine,F,0,56,Jamaica, NY,11432,50791,0,3,71,2,1,0,0,3006,1,1,0,4,2
9b0e21513579475c92ef29af68bb5519,Halle Colon,F,0,51,Natchez, MS,39120,32626,0,1,7,4,1,0,1,4088,1,1,0,4,2
7d6138e00e2d40039cf869b583c07faa,Aditya Coleman,F,0,30,Little Falls, NJ,07424,69085,0,4,15,3,0,0,3,4053,0,1,0,0,2
7631f6df576047efbfc2f275e812d706,Diya Bender,F,0,23,Egg Harbor Township, NJ,08234,54965,1,0,7,7,0,1,3,4218,0,1,0,0,2
f3bdf6a78e904356bab5404fab3dd69d,Kaya Huffman,F,0,54,Opa Locka, FL,33054,54878,1,4,10,4,1,0,3,8112,1,1,0,4,2
5380d378428f417a858d32a1aa0f4ee5,Turner Hardin,F,0,30,Stone Mountain, GA,30083,79147,0,4,15,9,1,0,3,10335,0,1,0,0,2
05b7222852cd4cd9be90d4f2ca6f70e4,Jaylene Mills,F,0,68,Allen Park, MI,48101,42855,0,2,3,0,1,0,0,1032,1,1,1,4,2
17b344ef87da497faa94d69e4bef0c57,Kamari Marshall,F,0,46,Findlay, OH,45840,43852,0,0,1,8,1,0,2,2554,0,1,0,4,2
8d8ffb67035745d08c669243e03db6bc,Emilie Jackson,F,0,24,Banning, CA,92220,36088,1,4,2,8,0,1,3,11363,0,1,0,0,2
7207f2184c7e403e9f5c85fa4dcde868,Deacon Giles,F,0,39,Land O Lakes, FL,34639,71755,0,1,9,2,1,0,2,1338,0,1,0,0,2
ed54da12cc0e47df85b82b4572699ac6,Lucy Odonnell,F,0,43,Howard Beach, NY,11414,53484,1,2,14,2,1,0,1,4481,0,1,0,0,2
9672128f36554b0e8ce715bb4e9e604a,Kierra Wilson,F,0,39,Little Falls, NJ,07424,69085,1,0,11,4,1,0,1,5283,0,1,0,0,2
9ac05d28f8544a3cbabb81d882d5b2ca,Talia Green,F,0,24,Sterling, VA,20164,63201,0,1,7,7,0,1,2,4628,0,1,0,0,2
aa7bbff448a5428f9acc5c2d749fcb78,Casey Maddox,F,0,21,Sarasota, FL,34231,64205,1,3,8,7,0,1,1,7697,0,1,0,0,2
fae0bff19a7a4c759ea846ff691574ae,Zion Lowery,F,0,62,Hattiesburg, MS,39401,62197,0,1,90,5,1,0,0,4893,1,1,1,4,2
d60eae5473b04cee8b48688dbeabc63d,Reese Spears,F,0,28,Camas, WA,98607,36337,0,3,13,7,0,1,2,5304,0,1,0,0,2
5188d9f6ad264193a58e6f273ea2425b,Cailyn Mathis,F,0,45,Metairie, LA,70001,47617,1,0,12,6,0,0,3,4981,0,1,0,0,2
d4dbb17846d94338bc5680b7ced89374,Katrina Barnes,F,0,50,Framingham, MA,01701,73040,1,4,10,0,1,0,3,7349,0,1,0,4,2
95fbf05acb344752b47072143cbde06d,Ariella Moss,F,0,26,Pataskala, OH,43062,55800,1,0,18,3,1,1,3,6108,0,1,0,0,2
7c760f5ecad848498c700a67a83479d6,Emilie Summers,F,0,32,Hattiesburg, MS,39401,69108,0,0,8,8,1,0,3,3793,0,1,0,0,2
70fce883a38b45119e66e023176b12b0,Chase Flowers,F,0,41,Manchester Township, NJ,08759,62437,1,0,8,1,1,0,1,5108,0,1,0,0,2
4a1140ffc65240ad8a03f8462a6f426a,Reece Lynn,F,0,38,Oak Lawn, IL,60453,32626,0,4,10,0,0,0,2,4914,0,1,0,0,2
87880f2581544bf6a8ac7f29252ede8a,Heather Schmitt,F,0,61,Waterbury, CT,06705,48551,1,4,89,3,1,0,0,2537,1,1,1,4,2
42214c0cc67f465880d25c5784b0ff15,Clara Snyder,F,0,41,Calhoun, GA,30701,42229,1,2,12,5,0,0,2,4585,0,1,0,0,2
